epoch,lr,train_loss,train_corner,train_center,train_size,val_loss,val_iou,val_acc025,val_acc050,val_corner_mm,val_center_mm,val_rot_deg
57,1.977004e-04,0.041633,0.019812,0.010910,0.021822,0.042287,nan,nan,nan,nan,nan,nan
58,1.812880e-04,0.041060,0.019673,0.010507,0.021759,0.042307,nan,nan,nan,nan,nan,nan
59,1.654347e-04,0.040705,0.019479,0.010536,0.021380,0.041885,nan,nan,nan,nan,nan,nan
60,1.501683e-04,0.041240,0.019692,0.010712,0.021670,0.042127,0.3867,0.7246,0.3478,44.06,24.57,21.33
61,1.355157e-04,0.041004,0.019702,0.010634,0.021335,0.042091,nan,nan,nan,nan,nan,nan
62,1.215025e-04,0.040362,0.019301,0.010455,0.021212,0.041825,nan,nan,nan,nan,nan,nan
63,1.081533e-04,0.040870,0.019501,0.010540,0.021657,0.041580,nan,nan,nan,nan,nan,nan
64,9.549150e-05,0.040398,0.019351,0.010478,0.021138,0.041514,nan,nan,nan,nan,nan,nan
65,8.353938e-05,0.040105,0.019235,0.010307,0.021127,0.041521,0.3886,0.7198,0.3478,43.69,24.65,21.33
66,7.231787e-05,0.040430,0.019427,0.010423,0.021160,0.042433,nan,nan,nan,nan,nan,nan
67,6.184666e-05,0.040172,0.019338,0.010223,0.021221,0.041594,nan,nan,nan,nan,nan,nan
68,5.214412e-05,0.039668,0.019165,0.010227,0.020553,0.041392,nan,nan,nan,nan,nan,nan
69,4.322727e-05,0.039512,0.019088,0.010117,0.020614,0.041273,nan,nan,nan,nan,nan,nan
70,3.511176e-05,0.039975,0.019218,0.010285,0.020944,0.041328,0.3838,0.7150,0.3285,43.42,24.34,21.29
71,2.781181e-05,0.039451,0.019036,0.010011,0.020807,0.041698,nan,nan,nan,nan,nan,nan
72,2.134025e-05,0.040557,0.019440,0.010416,0.021403,0.041130,nan,nan,nan,nan,nan,nan
73,1.570842e-05,0.040096,0.019289,0.010236,0.021143,0.041740,nan,nan,nan,nan,nan,nan
74,1.092620e-05,0.039628,0.019167,0.010021,0.020880,0.041412,nan,nan,nan,nan,nan,nan
75,7.001981e-06,0.039977,0.019128,0.010235,0.021229,0.041560,0.3868,0.7150,0.3285,43.55,24.56,21.28
76,3.942649e-06,0.039751,0.019110,0.010050,0.021183,0.041314,nan,nan,nan,nan,nan,nan
77,1.753570e-06,0.039702,0.019129,0.010009,0.021128,0.041413,nan,nan,nan,nan,nan,nan
78,4.385850e-07,0.039635,0.019105,0.010149,0.020762,0.041506,nan,nan,nan,nan,nan,nan
79,0.000000e+00,0.039302,0.018978,0.009937,0.020774,0.041249,0.3872,0.7198,0.3382,43.44,24.39,21.28
