epoch,lr,train_loss,train_corner,train_center,train_size,val_loss,val_iou,val_acc025,val_acc050,val_corner_mm,val_center_mm,val_rot_deg
57,1.977004e-04,0.037097,0.017579,0.009469,0.020098,0.037433,nan,nan,nan,nan,nan,nan
58,1.812880e-04,0.036972,0.017513,0.009327,0.020264,0.036900,nan,nan,nan,nan,nan,nan
59,1.654347e-04,0.036836,0.017453,0.009348,0.020072,0.037082,nan,nan,nan,nan,nan,nan
60,1.501683e-04,0.036336,0.017087,0.009220,0.020057,0.037179,0.4238,0.8019,0.4058,39.02,21.65,19.45
61,1.355157e-04,0.036684,0.017372,0.009317,0.019989,0.036987,nan,nan,nan,nan,nan,nan
62,1.215025e-04,0.036160,0.017178,0.009136,0.019693,0.037639,nan,nan,nan,nan,nan,nan
63,1.081533e-04,0.036029,0.017063,0.009012,0.019906,0.037182,nan,nan,nan,nan,nan,nan
64,9.549150e-05,0.035895,0.017014,0.009019,0.019723,0.036919,nan,nan,nan,nan,nan,nan
65,8.353938e-05,0.035982,0.017072,0.009031,0.019757,0.036365,0.4360,0.8164,0.4155,38.26,21.18,19.11
66,7.231787e-05,0.035541,0.016890,0.009016,0.019271,0.037081,nan,nan,nan,nan,nan,nan
67,6.184666e-05,0.035766,0.017024,0.008861,0.019762,0.036284,nan,nan,nan,nan,nan,nan
68,5.214412e-05,0.035282,0.016752,0.008885,0.019290,0.035992,nan,nan,nan,nan,nan,nan
69,4.322727e-05,0.035389,0.016799,0.008886,0.019408,0.036161,nan,nan,nan,nan,nan,nan
70,3.511176e-05,0.035637,0.016884,0.008861,0.019785,0.036442,0.4374,0.8019,0.4106,38.37,21.22,19.12
71,2.781181e-05,0.035208,0.016733,0.008785,0.019379,0.036122,nan,nan,nan,nan,nan,nan
72,2.134025e-05,0.035124,0.016698,0.008721,0.019410,0.035962,nan,nan,nan,nan,nan,nan
73,1.570842e-05,0.035619,0.016947,0.008874,0.019596,0.036163,nan,nan,nan,nan,nan,nan
74,1.092620e-05,0.034858,0.016737,0.008714,0.018814,0.036002,nan,nan,nan,nan,nan,nan
75,7.001981e-06,0.035214,0.016728,0.008711,0.019549,0.036166,0.4410,0.8019,0.4444,38.23,21.07,19.08
76,3.942649e-06,0.035596,0.017002,0.008805,0.019578,0.036269,nan,nan,nan,nan,nan,nan
77,1.753570e-06,0.035542,0.016857,0.008835,0.019699,0.036109,nan,nan,nan,nan,nan,nan
78,4.385850e-07,0.034986,0.016584,0.008809,0.019187,0.036225,nan,nan,nan,nan,nan,nan
79,0.000000e+00,0.035327,0.016714,0.008857,0.019514,0.036038,0.4408,0.8116,0.4396,38.09,21.11,18.99
